ECG 1,ECG 2,ECG3
-0.047949195,-0.33732571,-0.099753726
-0.17851201,-0.30798866,-0.13180633
-0.3351874,-0.30798866,-0.15317474
-0.30907483,-0.32265719,-0.07838532
-0.24379342,-0.30798866,-0.014280105
-0.1915683,-0.26398308,-0.046332712
-0.16545573,-0.23464602,0.017772503
-0.29601855,-0.17597191,0.0070883007
-0.32213112,-0.24931455,0.049825111
-0.29601855,-0.26398308,0.039140909
-0.21768086,-0.19064044,0.071193516
-0.15239945,-0.24931455,0.10324612
-0.17851201,-0.23464602,0.11393033
-0.28296227,-0.2786516,0.16735134
-0.32213112,-0.24931455,0.16735134
-0.24379342,-0.20530896,0.19940395
-0.23073714,-0.26398308,0.17803554
-0.1915683,-0.2786516,0.11393033
-0.20462458,-0.2786516,0.10324612
-0.21768086,-0.32265719,0.060509314
-0.17851201,-0.36666277,0.060509314
-0.047949195,-0.32265719,0.028456706
-0.021836632,-0.33732571,0.028456706
-0.034892913,-0.32265719,-0.014280105
-0.047949195,-0.35199424,-0.024964307
0.017332214,-0.3813313,-0.057016915
0.18706388,-0.39599983,-0.07838532
0.50041465,-0.41066835,-0.046332712
0.93127195,-0.33732571,-0.046332712
1.5579735,-0.30798866,-0.089069523
2.1324499,-0.35199424,-0.14249054
2.602476,-0.41066835,-0.15317474
2.9549956,-0.36666277,-0.19591155
3.2552901,-0.33732571,-0.19591155
3.3466841,-0.33732571,-0.23864836
3.2814027,-0.36666277,-0.24933256
3.0072208,-0.41066835,-0.22796416
2.7330389,-0.36666277,-0.22796416
2.6547012,-0.33732571,-0.22796416
2.5763635,-0.30798866,-0.24933256
2.6155323,-0.26398308,-0.24933256
2.7069263,-0.32265719,-0.22796416
2.8113765,-0.26398308,-0.24933256
2.6677574,-0.2786516,-0.23864836
2.2630127,-0.2786516,-0.18522735
1.9627182,-0.20530896,-0.21727995
2.0671685,-0.2786516,-0.24933256
2.4327444,-0.29332013,-0.18522735
2.7591514,-0.2786516,-0.19591155
2.6677574,-0.21997749,-0.24933256
2.1324499,-0.21997749,-0.20659575
1.3099041,-0.23464602,-0.22796416
0.63097746,-0.23464602,-0.20659575
0.1740076,-0.19064044,-0.21727995
0.13483875,-0.23464602,-0.17454314
0.13483875,-0.17597191,-0.15317474
-0.0087803496,-0.14663485,-0.07838532
